RouteNum;Authority;City;Transport;Operator;ValidityPeriods;SpecialDates;RouteTag;RouteType;Commercial;RouteName;Weekdays;RouteID;Entry;RouteStops;Pikas2012.11.19;Datestart
;;;;;;;;B>A;A;Слепянка - ДС Карастояновой;1234567;204124;;15440,14774,15441,15470,15471,15472,15817,15819,15820,15822,15824,14470,15735,15732,14441,15722,15717,15716,15715,15750,15714;;
;;;;;17352,;;0;B>D;A;Слепянка - D;12345;204191;;15440,14774,15441,15470,15471,15472,15817;;
;;;;;17348,;;0.27;B4>D;A;Уральская - АП4;67;204126;;15440,14774,15441,15470,15471,15472,15817;;
;;;;;17352,;;0;D>B;A;D - Слепянка;12345;204190;;15473,15435,15436,15437,15438,15439,15440;;
;;;;;17348,;;0.27;D>B4;A;АП4 - Уральская;67;204125;;15473,15435,15436,15437,15438,15439,15440;;
20с;;;;6 АП;17318,;;;A>B;A;ДС Ангарская-4 - ст. м. Академия наук;1234567;191689;;68909,15330,15331,15320,15321,15322,15971,15963,15972,15413,15414,15406,15417,14739,14754,15514,15952;;d1-d5 - 01.06.2017<br>d6-d7 - 03.06.2017
;;;;;;;;B>A;A;ст. м. Академия наук - ДС Ангарская-4;1234567;191690;;15952,14767,14769,14770,14775,15404,15405,15409,15969,15970,15323,15324,15325,15304,15833,68909;;
21;;;;;;;;A>B;A;ДС Шабаны - ДС Чижовка;12345;198166;;14746,14748,14749,69249,14824,14825,14828,16041,15343,15344,15345,15704,15705,15707,15530,15510,15511,15512,15513,15523,15524,15525,15535,68866;;d1-d4 - 01.06.2017<br>d5 - 02.06.2017
;;;;;;;;B>A;A;ДС Чижовка - ДС Шабаны;12345;198167;;68866,133126,15504,15505,15506,15507,15508,15509,15529,15709,15708,15706,15295,15296,15297,15620,16040,14745,14746;;
22;;;;;;;;A>B;A;ДС Ангарская-4 - ДС Чижовка;1234567;199856;;68909,15306,15307,58355,15336,15337,15969,15964,15965,15344,15345,15704,15705,15707,15530,15531,15532,15533,193269,68866;;d1-d5 - 01.06.2017<br>d6-d7 - 03.06.2017
;;;;;;;;B>A;A;ДС Чижовка - ДС Ангарская-4;1234567;199855;;68866,71280,15527,15528,15529,15709,15708,15706,15295,15296,15961,15962,15963,15338,15335,58356,15328,15329,68849,68909;;
23;;;;5 АП;;;;A>B;A;ДС Малиновка-4 - Городской Вал;1234567;185147;;54638,14951,14952,14982,14983,15585,15586,15643,15644,15645,15647,15648,71807,73042,15214,15215,15216,15165,15166,14716,54642,15922,68958,15929,15930,15932,15597,14690;;d1-d5 - 01.06.2017<br>d6-d7 - 03.06.2017
;;;;;;;;B>A;A;Городской Вал - ДС Малиновка-4;1234567;185148;;14690,73579,15122,15567,15568,15936,15937,15931,15934,15926,15924,14762,15129,15130,14903,14904,14905,71803,73043,15638,15639,15640,15641,15642,15577,15578,14980,14981,14949,14950,147112,54638;;
;;;;;;;0;A>D;A;ДС Малиновка-4 - D;12345;185149;;54638,14951,14952,14982,14983,15585,15586,15643,15644,15645,15647,15648,71807,15214;;
;;;;;17320,;;0;A>D;A;ДС Малиновка-4 - АП5;67;185157;;54638,14951,14952,14982,14983,15585,15586,15643,15644,15645,15647,15648,71807,15214;;
;;;;;17318,;;0;D>A;A;D - ДС Малиновка-4;12345;185151;;71803,15638,15639,15640,15641,15642,15577,15578,14980,14981,14949,14950,147112,54638;;
;;;;;17320,;;0;D>A;A;АП5 - ДС Малиновка-4;67;185159;;71803,15638,15639,15640,15641,15642,15577,15578,14980,14981,14949,14950,147112,54638;;
24;;;;7 АП;17334,;;;A>B;A;ДС Зелёный Луг-6 - Воронянского;1234567;203221;;15788,15787,15784,15782,54541,14461,15978,277139,15979,133352,15018,14758,14467,14456,15731,15736,15738,15777,15779,15566,15122,15774,15891,15918,15886,15887,15878,15879,15880;;d1-d5 - 17.06.2017<br>d6-d7 - 17.06.2017
;;;;;;;;B>A;A;Воронянского - ДС Зелёный Луг-6;1234567;203220;;15880,15881,15883,15884,15885,15912,15920,15599,15600,15778,15776,58353,14516,14517,14518,14519,133353,133351,14790,15976,15977,14450,15781,15783,15785,15786,15788;;
25;;;;;17318,;;;A>B;A;ДС Уручье -2 - Кульман;12345;198746;;14386,14404,14633,14629,14407,14410,14412,14413,14416,14631,14418,14420,14341,14343,14490,14492,15859,14768,15889,15735,15732,15730,15719,15718,15721;;d1-d5 - 01.06.2017
;;;;;;;;B>A;A;Кульман - ДС Уручье -2;12345;198743;;15721,14456,15731,15733,15734,15888,14756,14494,14495,14346,14342,14422,14421,14419,14417,14415,14414,14411,14409,14408,14406,14628,14405,14386;;
26;;;;4 АП;;;;A>B;A;ДС Восточная - Будславская;1234567;202252;;15629,15630,15631,15632,15633,15634,68885,15741,15218,14961,14962,14963,14964,14965,14966,14967,14968,91040,91042,91044;;d1-d5 - 01.06.2017<br>d6-d7 - 03.06.2017
;;;;;;;;B>A;A;Будславская - ДС Восточная;1234567;202253;;91044,91043,91041,15001,15002,15003,15004,15005,15006,15007,15008,58359,15740,15738,15603,15604,15605,15606,15607,15629;;
27;;;;6 АП;;;;A>B;A;ДС Ангарская-4 - Сосновый Бор;1234567;198673;;68909,15330,15331,15332,15334,15413,15414,15415,15416,15406,15417,14738,14739,15422,15423,15429,15442,14678,14500,14676,14650,14381,14383,14385,14404;;d1-d5 - 01.06.2017<br>d6-d7 - 03.06.2017
;;;;;;;;B>A;A;Сосновый Бор -  ДС Ангарская-4;12345;198672;;14404,14633,14629,14384,14382,14649,14651,14675,14488,14677,15418,15419,15420,15421,14774,14775,15363,15404,15405,15407,15408,15409,15410,15411,15303,15304,15833,68909;;
